id,transaction_date,transaction_amount,transaction_status,transaction_type,platform_used,id_bill
TXN057,2024-07-25 20:00:00,58242,Failed,Bill Payment,Nequi,FAC7378
TXN058,2024-06-09 20:00:00,113319,Pending,Bill Payment,Nequi,FAC3104
TXN059,2024-07-11 23:00:00,37708,Completed,Bill Payment,Daviplata,FAC2382
TXN060,2024-07-20 16:00:00,54969,Pending,Bill Payment,Nequi,FAC6022
TXN061,2024-07-08 23:00:00,51411,Completed,Bill Payment,Daviplata,FAC3529
TXN062,2024-07-17 05:00:00,45233,Completed,Bill Payment,Nequi,FAC1856
TXN063,2024-06-10 01:00:00,99926,Failed,Bill Payment,Nequi,FAC5678
TXN064,2024-06-20 12:00:00,31572,Completed,Bill Payment,Nequi,FAC7474
TXN065,2024-06-14 03:00:00,123720,Pending,Bill Payment,Nequi,FAC9956
TXN066,2024-07-29 14:00:00,17171,Failed,Bill Payment,Daviplata,FAC7570
TXN067,2024-07-23 09:00:00,56259,Failed,Bill Payment,Daviplata,FAC2909
TXN068,2024-06-20 22:00:00,196548,Failed,Bill Payment,Daviplata,FAC2139
TXN069,2024-06-20 18:00:00,93635,Completed,Bill Payment,Daviplata,FAC8752
TXN070,2024-07-15 21:00:00,58585,Completed,Bill Payment,Daviplata,FAC8107
TXN071,2024-06-06 18:00:00,86244,Completed,Bill Payment,Daviplata,FAC7475
TXN072,2024-07-18 20:00:00,55572,Failed,Bill Payment,Nequi,FAC3660
TXN073,2024-06-21 06:00:00,50713,Failed,Bill Payment,Nequi,FAC9573
TXN074,2024-06-29 18:00:00,129480,Completed,Bill Payment,Nequi,FAC2238
TXN075,2024-07-03 20:00:00,41657,Completed,Bill Payment,Daviplata,FAC6979
TXN076,2024-06-15 11:00:00,126084,Completed,Bill Payment,Daviplata,FAC8740
TXN077,2024-06-04 07:00:00,190936,Failed,Bill Payment,Nequi,FAC9872
TXN078,2024-06-21 21:00:00,78561,Failed,Bill Payment,Nequi,FAC9634
TXN079,2024-07-23 11:00:00,162844,Completed,Bill Payment,Nequi,FAC9210
TXN080,2024-06-29 15:00:00,80235,Failed,Bill Payment,Nequi,FAC3888
TXN081,2024-06-18 00:00:00,158138,Pending,Bill Payment,Daviplata,FAC7110
TXN082,2024-06-06 15:00:00,101593,Pending,Bill Payment,Daviplata,FAC5649
TXN083,2024-06-22 03:00:00,103741,Pending,Bill Payment,Daviplata,FAC1490
TXN084,2024-07-04 02:00:00,41300,Pending,Bill Payment,Daviplata,FAC5439
TXN085,2024-06-19 11:00:00,89956,Completed,Bill Payment,Daviplata,FAC4962
TXN086,2024-07-13 05:00:00,165402,Completed,Bill Payment,Nequi,FAC8801
TXN087,2024-07-04 09:00:00,106689,Pending,Bill Payment,Nequi,FAC1904
TXN088,2024-06-14 11:00:00,22411,Completed,Bill Payment,Nequi,FAC7503
TXN089,2024-06-27 05:00:00,11359,Pending,Bill Payment,Daviplata,FAC7561
TXN090,2024-06-08 10:00:00,79808,Pending,Bill Payment,Nequi,FAC5390
TXN091,2024-07-05 21:00:00,42648,Pending,Bill Payment,Nequi,FAC1760
TXN092,2024-06-03 05:00:00,101468,Pending,Bill Payment,Daviplata,FAC3395
TXN093,2024-06-21 17:00:00,115488,Pending,Bill Payment,Daviplata,FAC1926
TXN094,2024-07-26 00:00:00,61920,Completed,Bill Payment,Daviplata,FAC7521
TXN095,2024-07-23 20:00:00,141510,Failed,Bill Payment,Nequi,FAC6693
TXN096,2024-07-08 19:00:00,39792,Pending,Bill Payment,Daviplata,FAC1513
TXN097,2024-07-09 05:00:00,87689,Completed,Bill Payment,Daviplata,FAC3039
TXN098,2024-07-06 00:00:00,178739,Failed,Bill Payment,Nequi,FAC3709
TXN099,2024-07-27 10:00:00,105611,Failed,Bill Payment,Daviplata,FAC3914
TXN100,2024-07-11 07:00:00,141787,Failed,Bill Payment,Daviplata,FAC8875
